Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
Drake,50162292808,19246513666,262,6,130,2022-09-19
Bad Bunny,44369032140,5391990975,163,5,118,2022-09-20
Ed Sheeran,38153682361,2791278201,240,10,62,2022-09-19
The Weeknd,34767779741,4288903657,186,8,72,2022-09-19
Taylor Swift,32596728109,424053296,323,1,96,2022-09-20
Justin Bieber,32465998885,10816202075,225,6,58,2022-09-20
Ariana Grande,32287682040,2052297828,181,8,71,2022-09-19
Eminem,30431861291,4165031640,301,5,65,2022-09-19
Post Malone,29832277109,2728018288,98,9,57,2022-09-19
BTS,28533458128,323205288,262,1,98,2022-09-19
J Balvin,25892190469,9950347777,242,3,66,2022-09-19
Kanye West,25535119184,5767153127,239,1,63,2022-09-20
Billie Eilish,23684986780,0,65,4,47,2022-09-20
Juice WRLD,23114066243,3751941085,116,3,60,2022-09-19
Coldplay,22214835214,0,299,5,34,2022-09-20
Dua Lipa,22186290470,349750231,198,7,36,2022-09-19
Imagine Dragons,21812218476,65400698,189,4,41,2022-09-19
XXXTENTACION,21726799289,2664663104,144,7,44,2022-09-18
Ozuna,21119272574,7514655612,215,1,51,2022-09-17
Khalid,20973735166,2923419376,119,7,40,2022-09-15
Rihanna,20761226681,6677097087,278,2,46,2022-09-19
Travis Scott,20566427073,9662107113,113,4,49,2022-09-17
Maroon 5,19952566778,18447,240,7,31,2022-09-17
David Guetta,19104897589,1131603410,705,1,46,2022-09-19
Shawn Mendes,18964777185,46809153,126,5,34,2022-09-19
Bruno Mars,18201285113,3874562483,81,5,32,2022-09-06
Daddy Yankee,18075604863,5656394885,360,4,44,2022-09-16
Calvin Harris,17820311936,419338360,238,3,29,2022-09-03
Kendrick Lamar,17650726013,8647763108,121,2,41,2022-09-19
Sam Smith,16883863013,277349953,145,4,31,2022-09-19
Queen,16557204478,35125587,557,4,24,2022-09-20
Beyoncé,15593114022,1949901038,366,1,36,2022-09-19
Adele,15561219687,74107163,71,5,28,2022-09-19
Future,15552849123,9255946718,504,1,29,2022-09-17
One Direction,15499795436,0,124,0,45,2022-09-19
The Chainsmokers,15484677966,400919869,197,4,27,2022-09-13
Chris Brown,15440015429,7787759348,427,0,38,2022-09-19
Lady Gaga,14897662581,94739265,314,1,27,2022-09-19
J. Cole,14849857590,3309086106,137,1,39,2022-09-20
Nicki Minaj,14744100678,10558501637,171,2,35,2022-09-19
Anuel AA,14364736608,4592555695,160,1,35,2022-09-19
Halsey,14151726087,2459831429,180,3,24,2022-09-12
The Beatles,14001404418,0,792,0,39,2022-09-19
Selena Gomez,13905383000,2075330489,140,3,24,2022-09-19
Sia,13601270394,3054317056,323,2,26,2022-09-19
Maluma,13551469480,7414576492,195,0,34,2022-08-18
Harry Styles,13347420670,0,39,4,35,2022-09-20
Marshmello,13049327287,641714533,163,4,19,2022-09-15
Lil Uzi Vert,12985704210,8235141311,140,1,33,2022-09-19
Linkin Park,12970759855,47851519,350,2,30,2022-09-18
Twenty One Pilots,12949146668,0,90,3,36,2022-09-18
Rauw Alejandro,12914088970,1924490635,182,0,34,2022-09-18
Katy Perry,12631477879,1217714183,180,0,30,2022-09-19
Kygo,12519097847,1133263396,107,1,30,2022-09-09
Avicii,12484875427,456987347,248,3,18,2022-09-20
Lana Del Rey,12457976768,801314209,166,0,37,2022-09-19
Farruko,11983825654,6531990862,343,1,31,2022-07-31
Doja Cat,11973361879,1669029614,85,3,25,2022-09-19
Camila Cabello,11822254851,2188298508,61,2,24,2022-09-19
Jason Derulo,11262694386,742144326,197,0,28,2022-09-08
Arctic Monkeys,11249748739,0,134,1,24,2022-09-19
KAROL G,11177377040,553732559,85,2,29,2022-09-20
Red Hot Chili Peppers,11005993478,0,266,0,17,2022-09-18
Shakira,10782631210,1255591184,232,1,25,2022-09-19
Demi Lovato,10668611459,1425100886,251,1,23,2022-09-19
Miley Cyrus,9940559934,931030339,197,1,17,2022-09-18
OneRepublic,9926540057,219314451,167,1,27,2022-08-28
Nicky Jam,9861155500,9052517716,220,0,27,2022-07-31
Michael Jackson,9754680636,547196557,327,1,21,2022-09-19
Lil Baby,9670090585,8736714891,181,1,21,2022-09-19
