year,award,artist,music_title,winner
2016,Album Of The Year,Sturgill Simpson,A Sailor's Guide To Earth,False
2016,Album Of The Year,Drake,Views,False
2016,Album Of The Year,Justin Bieber,Purpose,False
2016,Album Of The Year,Beyoncé,Lemonade,False
2016,Album Of The Year,Adele,25,True
2016,Best Alternative Music Album,Radiohead,A Moon Shaped Pool,False
2016,Best Alternative Music Album,Iggy Pop,Post Pop Depression,False
2016,Best Alternative Music Album,PJ Harvey,The Hope Six Demolition Project,False
2016,Best Alternative Music Album,Bon Iver,"22, A Million",False
2016,Best Alternative Music Album,David Bowie,Blackstar,True
2016,Best American Roots Performance,Lori McKenna,Wreck You,False
2016,Best American Roots Performance,Rhiannon Giddens,Factory Girl,False
2016,Best American Roots Performance,Blind Boys Of Alabama,Mother's Children Have A Hard Time,False
2016,Best American Roots Performance,The Avett Brothers,Ain't No Man,False
2016,Best American Roots Performance,Sarah Jarosz,House Of Mercy,True
2016,Best Americana Album,The Time Jumpers,Kid Sister,False
2016,Best Americana Album,Lori McKenna,The Bird & The Rifle,False
2016,Best Americana Album,Kris Kristofferson,The Cedar Creek Sessions,False
2016,Best Americana Album,The Avett Brothers,True Sadness,False
2016,Best Americana Album,William Bell,This Is Where I Live,True
2016,Best Bluegrass Album,Claire Lynch,North By South,False
2016,Best Bluegrass Album,Laurie Lewis,The Hazel And Alice Sessions,False
2016,Best Bluegrass Album,Doyle Lawson,Burden Bearer,False
2016,Best Bluegrass Album,Blue Highway,Original Traditional,False
2016,Best Bluegrass Album,Mark O'Connor,Coming Home,True
2016,Best Children's Album,The Okee Dokee Brothers,Saddle Up,False
2016,Best Children's Album,Brady Rymer,Press Play,False
2016,Best Children's Album,Recess Monkey,Novelties,False
2016,Best Children's Album,Frances England,Explorer Of The World,False
2016,Best Children's Album,Secret Agent 23 Skidoo,Infinity Plus One,True
2016,Best Comedy Album,Amy Schumer,Live At The Apollo,False
2016,Best Comedy Album,Tig Notaro,Boyish Girl Interrupted,False
2016,Best Comedy Album,Margaret Cho,American Myth,False
2016,Best Comedy Album,David Cross,...America...Great…,False
2016,Best Comedy Album,Patton Oswalt,Talking For Clapping,True
2016,Best Contemporary Blues Album,Joe Louis Walker,Everybody Wants A Piece,False
2016,Best Contemporary Blues Album,The Record Company,Give It Back To You,False
2016,Best Contemporary Blues Album,Kenny Neal,Bloodline,False
2016,Best Contemporary Blues Album,Janiva Magness,Love Wins Again,False
2016,Best Contemporary Blues Album,Fantastic Negrito,The Last Days Of Oakland,True
2016,Best Contemporary Christian Music Album,Natalie Grant,Be One,False
2016,Best Contemporary Christian Music Album,Crowder,American Prodigal,False
2016,Best Contemporary Christian Music Album,Hillary Scott,Love Remains,True
2016,Best Contemporary Instrumental Album,Chuck Loeb,Unspoken,False
2016,Best Contemporary Instrumental Album,Steve Gadd Band,"Way Back Home: Live From Rochester, NY",False
2016,Best Contemporary Instrumental Album,Bill Frisell,When You Wish Upon A Star,False
2016,Best Contemporary Instrumental Album,Herb Alpert,Human Nature,False
2016,Best Contemporary Instrumental Album,Snarky Puppy,Culcha Vulcha,True
2016,Best Country Album,Keith Urban,Ripcord,False
2016,Best Country Album,Maren Morris,Hero,False
2016,Best Country Album,Loretta Lynn,Full Circle,False
2016,Best Country Album,Brandy Clark,Big Day In A Small Town,False
2016,Best Country Album,Sturgill Simpson,A Sailor's Guide To Earth,True
2016,Best Country Duo/Group Performance,Chris Young,Think Of You,False
2016,Best Country Duo/Group Performance,Kenny Chesney,Setting The World On Fire,False
2016,Best Country Duo/Group Performance,Brothers Osborne,21 Summer,False
2016,Best Country Duo/Group Performance,Dierks Bentley,Different For Girls,False
2016,Best Country Duo/Group Performance,Pentatonix,Jolene,True
2016,Best Country Solo Performance,Keith Urban,Blue Ain't Your Color,False
2016,Best Country Solo Performance,Carrie Underwood,Church Bells,False
2016,Best Country Solo Performance,Miranda Lambert,Vice,False
2016,Best Country Solo Performance,Brandy Clark,Love Can Go To Hell,False
2016,Best Country Solo Performance,Maren Morris,My Church,True
2016,Best Dance Recording,Sofi Tukker,Drinkee,False
2016,Best Dance Recording,Riton,Rinse & Repeat,False
2016,Best Dance Recording,Flume,Never Be Like You,False
2016,Best Dance Recording,Bob Moses,Tearing Me Up,False
2016,Best Dance Recording,The Chainsmokers,Don't Let Me Down,True
2016,Best Dance/Electronic Album,Louie Vega,Louie Vega Starring...XXVIII,False
2016,Best Dance/Electronic Album,Underworld,"Barbara Barbara, We Face A Shining Future",False
2016,Best Dance/Electronic Album,Tycho,Epoch,False
2016,Best Dance/Electronic Album,Jean-Michel Jarre,Electronica 1: The Time Machine,False
2016,Best Dance/Electronic Album,Flume,Skin,True
2016,Best Folk Album,Sierra Hull,Weighted Mind,False
2016,Best Folk Album,Rhiannon Giddens,Factory Girl,False
2016,Best Folk Album,Robbie Fulks,Upland Stories,False
2016,Best Folk Album,Judy Collins,Silver Skies Blue,False
2016,Best Folk Album,Sarah Jarosz,Undercurrent,True
2016,Best Gospel Album,William Murphy,Demonstrate [Live],False
2016,Best Gospel Album,Todd Dulaney,A Worshipper's Heart [Live],False
2016,Best Gospel Album,Shirley Caesar,Fill This House,False
2016,Best Gospel Album,Tim Bowman Jr.,Listen,False
2016,Best Gospel Album,Kirk Franklin,Losing My Religion,True
2016,Best Jazz Instrumental Album,Joshua Redman,Nearness,False
2016,Best Jazz Instrumental Album,The Fred Hersch Trio,Sunday Night At The Vanguard,False
2016,Best Jazz Instrumental Album,Peter Erskine,Dr. Um,False
2016,Best Jazz Instrumental Album,Kenny Barron Trio,Book Of Intuition,False
2016,Best Jazz Instrumental Album,John Scofield,Country For Old Men,True
2016,Best Jazz Vocal Album,The Tierney Sutton Band,The Sting Variations,False
2016,Best Jazz Vocal Album,Catherine Russell,Harlem On My Mind,False
2016,Best Jazz Vocal Album,Branford Marsalis Quartet,Upward Spiral,False
2016,Best Jazz Vocal Album,René Marie,Sound Of Red,False
2016,Best Jazz Vocal Album,Gregory Porter,Take Me To The Alley,True
2016,Best Large Jazz Ensemble Album,Bob Mintzer,All L.A. Band,False
2016,Best Large Jazz Ensemble Album,John Daversa,Kaleidoscope Eyes: Music Of The Beatles,False
2016,Best Large Jazz Ensemble Album,John Beasley,"MONK'estra, Vol. 1",False
2016,Best Large Jazz Ensemble Album,Darcy James Argue's Secret Society,Real Enemies,False
2016,Best Large Jazz Ensemble Album,Ted Nash Big Band,Presidential Suite: Eight Variations On Freedom,True
2016,Best Latin Jazz Album,Trio Da Paz,30,False
2016,Best Latin Jazz Album,Michael Spiro/Wayne Wallace La Orquesta Sinfonietta,Canto América,False
2016,Best Latin Jazz Album,Andy González,Entre Colegas,False
2016,Best Latin Jazz Album,Chucho Valdés,Tribute To Irakere: Live In Marciac,True
2016,Best Latin Pop Album,Diego Torres,Buena Vida,False
2016,Best Latin Pop Album,Sanalejo,Seguir Latiendo,False
2016,Best Latin Pop Album,Laura Pausini,Similares,False
2016,Best Latin Pop Album,Gaby Moreno,Ilusión,False
2016,"Best Latin Rock, Urban or Alternative Album",Carla Morrison,Amor Supremo,False
2016,"Best Latin Rock, Urban or Alternative Album",Los Rakas,Los Rakas,False
2016,"Best Latin Rock, Urban or Alternative Album",La Santa Cecilia,Buenaventura,False
2016,"Best Latin Rock, Urban or Alternative Album",iLe,iLevitable,True
2016,Best Metal Performance,Periphery,The Price Is Wrong,False
2016,Best Metal Performance,Korn,Rotting In Vain,False
2016,Best Metal Performance,Gojira,Silvera,False
2016,Best Metal Performance,Baroness,Shock Me,False
2016,Best Metal Performance,Megadeth,Dystopia,True
2016,Best Music Film,Yo-Yo Ma,The Music Of Strangers,False
2016,Best Music Film,Beyoncé,Lemonade,False
2016,Best Music Film,Steve Aoki,I'll Sleep When I'm Dead,False
2016,Best Music Video,OK Go,Upside Down & Inside Out,False
2016,Best Music Video,Jamie XX,Gosh,False
2016,Best Music Video,Coldplay,Up&Up,False
2016,Best Music Video,Leon Bridges,River,False
2016,Best Music Video,Beyoncé,Formation,True
2016,Best New Age Album,Vangelis,Rosetta,False
2016,Best New Age Album,Peter Kater,Inner Passion,False
2016,Best New Age Album,Enya,Dark Sky Island,False
2016,Best New Age Album,John Burke,Orogen,False
2016,Best New Age Album,White Sun,White Sun II,True
2016,Best Pop Duo/Group Performance,Sia,Cheap Thrills,False
2016,Best Pop Duo/Group Performance,Rihanna,Work,False
2016,Best Pop Duo/Group Performance,Lukas Graham,7 Years,False
2016,Best Pop Duo/Group Performance,The Chainsmokers,Closer,False
2016,Best Pop Duo/Group Performance,Twenty One Pilots,Stressed Out,True
2016,Best Pop Solo Performance,Ariana Grande,Dangerous Woman,False
2016,Best Pop Solo Performance,Kelly Clarkson,Piece By Piece,False
2016,Best Pop Solo Performance,Justin Bieber,Love Yourself,False
2016,Best Pop Solo Performance,Beyoncé,Hold Up,False
2016,Best Pop Solo Performance,Adele,Hello,True
2016,Best Pop Vocal Album,Sia,This Is Acting,False
2016,Best Pop Vocal Album,Demi Lovato,Confident,False
2016,Best Pop Vocal Album,Ariana Grande,Dangerous Woman,False
2016,Best Pop Vocal Album,Justin Bieber,Purpose,False
2016,Best Pop Vocal Album,Adele,25,True
2016,Best R&B Album,Mýa,Smoove Jones,False
2016,Best R&B Album,Mint Condition,Healing Season,False
2016,Best R&B Album,Terrace Martin,Velvet Portraits,False
2016,Best R&B Album,BJ The Chicago Kid,In My Mind,False
2016,Best R&B Album,Lalah Hathaway,Lalah Hathaway Live,True
2016,Best R&B Performance,Rihanna,Needed Me,False
2016,Best R&B Performance,Musiq Soulchild,I Do,False
2016,Best R&B Performance,Ro James,Permission,False
2016,Best R&B Performance,BJ The Chicago Kid,Turnin' Me Up,False
2016,Best R&B Performance,Solange,Cranes In The Sky,True
2016,Best Rap Album,Kanye West,The Life Of Pablo,False
2016,Best Rap Album,ScHoolboy Q,Blank Face LP,False
2016,Best Rap Album,Drake,Views,False
2016,Best Rap Album,DJ Khaled,Major Key,False
2016,Best Rap Album,De La Soul,And The Anonymous Nobody,False
2016,Best Rap Album,Chance The Rapper,Coloring Book,True
2016,Best Rap Performance,Schoolboy Q,That Part,False
2016,Best Rap Performance,Fat Joe,All The Way Up,False
2016,Best Rap Performance,Drake,Pop Style,False
2016,Best Rap Performance,Desiigner,Panda,False
2016,Best Rap Performance,Chance The Rapper,No Problem,True
2016,Best Rap/Sung Performance,Kanye West,Famous,False
2016,Best Rap/Sung Performance,Kanye West,Ultralight Beam,False
2016,Best Rap/Sung Performance,D.R.A.M.,Broccoli,False
2016,Best Rap/Sung Performance,Beyoncé,Freedom,False
2016,Best Rap/Sung Performance,Drake,Hotline Bling,True
2016,Best Reggae Album,SOJA,SOJA: Live In Virginia,False
2016,Best Reggae Album,Rebelution,Falling Into Place,False
2016,Best Reggae Album,Raging Fyah,Everlasting,False
2016,Best Reggae Album,J Boog,Rose Petals,False
2016,Best Reggae Album,Devin Di Dakta,Sly & Robbie Presents... Reggae For Her,False
2016,Best Reggae Album,Ziggy Marley,Ziggy Marley,True
2016,Best Regional Mexican Music Album (Including Tejano),Mariachi Divas De Cindy Shea,Tributo A Joan Sebastian Y Rigoberto Alfaro,False
2016,Best Regional Mexican Music Album (Including Tejano),La Maquinaria Norteña,Generación Maquinaria Est. 2006.,False
2016,Best Regional Mexican Music Album (Including Tejano),Joss Favela,Hecho A Mano,False
2016,Best Regional Mexican Music Album (Including Tejano),Banda El Recodo De Cruz Lizárraga,Raíces,False
2016,Best Regional Mexican Music Album (Including Tejano),Vicente Fernández,"Un Azteca En El Azteca, Vol. 1",True
2016,Best Regional Roots Music Album,Roddie Romero,Gulfstream,False
2016,Best Regional Roots Music Album,Northern Cree,It's A Cree Thing,False
2016,Best Regional Roots Music Album,Barry Jean Ancelet,Broken Promised Land,False
2016,Best Regional Roots Music Album,Kalani Pe'a,E Walea,True
2016,Best Rock Album,Weezer,Weezer,False
2016,Best Rock Album,Panic! At The Disco,Death Of A Bachelor,False
2016,Best Rock Album,Gojira,Magma,False
2016,Best Rock Album,Blink-182,California,False
2016,Best Rock Album,Cage The Elephant,Tell Me I'm Pretty,True
2016,Best Rock Performance,Twenty One Pilots,Heathens,False
2016,Best Rock Performance,Disturbed,The Sound Of Silence,False
2016,Best Rock Performance,Beyoncé,Don't Hurt Yourself,False
2016,Best Rock Performance,Alabama Shakes,Joe,False
