track_id,instrumentalness,danceability,liveness,valence,energy,acousticness,tempo,streams,year
00B7TZ0Xawar6NZ00JFomN,0.0,0.62,0.314,0.665,0.625,0.287,167.911,11985346,2018
00ETaeHUQ6lops3oWU1Wrt,1.28e-06,0.681,0.11,0.429,0.773,0.019,119.961,4569978,2020
00ko9WaS4jOX1kEk3gvHjf,0.0,0.899,0.0573,0.599,0.509,0.00157,150.001,22273873,2019
017PF4Q3l4DBUiWoXk4OWT,1.39e-06,0.73,0.349,0.467,0.729,0.167,113.011,678936475,2020
01TnVDiet1DFTsyWKUKovl,0.179,0.414,0.131,0.196,0.416,0.1,159.91,58613459,2018
01dmH2IPkrLNWIMPNXlreE,0.0,0.519,0.0571,0.929,0.828,0.214,139.413,5560683,2018
01vv2AjxgP4uUyb8waYO5Y,0.000577,0.734,0.0968,0.518,0.607,0.0747,90.023,12618211,2018
01z2fBGB8Hl3Jd3zXe4IXR,0.00925,0.272,0.275,0.119,0.238,0.89,83.507,5713873,2018
021lWIHJrURZrmvYQ1xcM8,0.0,0.931,0.15,0.667,0.667,0.0144,142.039,6194224,2020
02FaKXXL7KUtRc7K0k54tL,0.0,0.774,0.0895,0.56,0.608,0.128,137.494,12910536,2018
02MWAaffLxlfxAUY7c5dvx,6.7e-06,0.761,0.0921,0.531,0.525,0.44,80.87,2265473708,2020
02RCbjb9czvQKNGBmEmWob,0.0,0.883,0.179,0.413,0.599,0.0177,142.976,31573174,2020
02kDW379Yfd5PzW5A6vuGt,0.0,0.799,0.111,0.471,0.66,0.256,140.04,19804278,2020
03eJ2DclFWXYU8GWgANdmZ,0.00174,0.8,0.0571,0.746,0.526,0.334,129.874,7148151,2019
03hqMhmCZiNKMSPmVabPLP,1.32e-06,0.359,0.0952,0.195,0.6,0.113,175.894,3685086,2017
03iCbZaM4OkRR4We6wIzvx,0.0,0.709,0.103,0.446,0.857,0.00219,126.038,22192073,2018
03mMSLEJCPoGJwQhHpN5y0,2.2e-05,0.653,0.046,0.697,0.869,0.128,122.017,7800929,2019
04MLEeAMuV9IlHEsD8vF6A,0.0,0.765,0.227,0.498,0.704,0.0215,147.055,188011040,2018
04ZTP5KsCypmtCmQg5tH9R,0.0,0.63,0.0719,0.216,0.694,0.00281,97.005,210746577,2018
04sN26COy28wTXYj3dMoiZ,0.00239,0.614,0.0795,0.112,0.318,0.896,119.959,154478480,2017
059bcIhyc2SBwm6sw2AZzd,3.46e-05,0.877,0.0863,0.706,0.777,0.0446,102.02,209890194,2018
05KOgYg8PGeJyyWBPi5ja8,0.0,0.736,0.571,0.203,0.491,0.0681,141.979,52659150,2017
05aZ9sAU1YXndHv0FMi9iW,0.0,0.543,0.155,0.729,0.766,0.423,106.869,14702818,2020
05bnEv2dpFzmGVLGdjD9UP,0.0892,0.57,0.254,0.28,0.0279,0.859,84.902,4648148,2017
05mDaV9Vb3wrzjF6OPZnhq,0.0,0.617,0.104,0.295,0.684,0.0545,132.113,130271583,2019
05r1GGg1Rhs0RcUg27C82a,0.0,0.623,0.25,0.115,0.568,0.0302,149.852,9005862,2018
05t7JMip6JrLuSrMV5yYjX,0.0,0.556,0.216,0.581,0.481,0.282,149.025,75368218,2018
06FCvd7rrRcF3DdvWH5Isp,0.0,0.678,0.104,0.566,0.562,0.193,94.241,35666980,2017
06Gyf2pFDVmN5K8XAawG96,0.0,0.8,0.352,0.379,0.523,0.00108,147.057,3345887,2017
06s3QtMJVXw1AJX3UfvZG1,3.29e-06,0.691,0.203,0.855,0.765,0.464,174.021,199228985,2020
06scTb0zbkxYNgpAB3J9fN,0.0,0.742,0.131,0.547,0.731,0.0851,174.019,5215211,2020
073ILU1C3APNRGF66VhtyA,0.00282,0.74,0.319,0.652,0.498,0.0169,98.016,60099553,2019
07FkzikE6FuHIa8Ma7zJGc,0.0,0.513,0.246,0.179,0.661,0.161,94.791,13416937,2017
07KXEDMj78x68D884wgVEm,0.0,0.831,0.3,0.511,0.499,0.269,97.956,226108906,2019
07Oz5StQ7GRoygNLaXs2pd,0.0,0.668,0.735,0.478,0.892,0.298,95.927,133930267,2019
083Qf6hn6sFL6xiOHlZUyn,0.0,0.623,0.12,0.4,0.851,0.0228,100.063,84912372,2018
086myS9r57YsLbJpU0TgK9,1.13e-05,0.691,0.104,0.8,0.631,0.0483,92.004,593777301,2013
08bNPGLD8AhKpnnERrAc6G,0.0,0.626,0.128,0.534,0.88,0.205,95.079,714909410,2018
08fa9LFcFBTcilB3iq2e2A,0.000402,0.354,0.0858,0.113,0.267,0.731,94.219,20627791,2020
09FfQO3PqHO4HIJL511Ksi,0.0,0.65,0.135,0.563,0.639,0.0942,139.226,16672906,2018
09IOPhEh1OMe0HD9b36FJk,0.0,0.569,0.132,0.181,0.777,0.139,164.027,70679346,2018
09IStsImFySgyp0pIQdqAc,0.0,0.753,0.112,0.437,0.657,0.171,107.01,421527037,2018
09PGubKAMryhOWv1LHpCYz,0.0,0.809,0.0543,0.717,0.547,0.46,95.012,5226991,2020
09mEdoA6zrmBPgTEN5qXmN,0.0,0.461,0.307,0.175,0.593,0.17,134.17,439293687,2018
0A37XY67wSdGqkGjtfW6aV,0.0,0.816,0.277,0.78,0.72,0.206,94.004,38522478,2020
0ADG9OgdVTL7fgREP75BrZ,0.0,0.576,0.285,0.355,0.782,0.00778,141.153,18895865,2017
0AUvWawuP0ibk4SQ3sIZjk,0.0,0.834,0.372,0.774,0.663,0.235,121.876,135289459,2020
0AcicReEGm1qcENjqzh1Tg,0.0,0.544,0.106,0.117,0.524,0.136,81.982,5307147,2018
0AluA5RNsa4Cx6XRhf2hWZ,0.0,0.81,0.102,0.0727,0.353,0.588,88.031,35982464,2018
0At2qAoaVjIwWNAqrscXli,0.0,0.561,0.078,0.235,0.779,0.0862,81.965,52481483,2017
0AtP8EkGPn6SwxKDaUuXec,0.0,0.852,0.798,0.726,0.666,0.135,91.046,46389797,2019
0B3FovCVaGKS5w1FTidEUP,0.0,0.603,0.279,0.595,0.602,0.049,119.703,11457783,2019
0CBQ0m3mufWH75LTYB3s6h,0.0,0.902,0.106,0.745,0.819,0.041,89.0,28241975,2018
0CZ8lquoTX2Dkg7Ak2inwA,4.7e-06,0.6,0.162,0.269,0.535,0.648,71.912,93339639,2018
0CfmNX2TXk7yoJqHJiixnp,0.0,0.791,0.0963,0.355,0.504,0.0183,159.949,5045035,2018
0CokSRCu5hZgPxcZBaEzVE,2.59e-05,0.731,0.112,0.356,0.794,0.0323,139.994,205750257,2017
0DiDStADDVh3SvAsoJAFMk,0.0,0.795,0.0645,0.874,0.496,0.108,94.01,218942317,2019
0E6PsO3ymCfUh7pJQjBgkj,0.0,0.705,0.168,0.377,0.784,0.0133,160.035,73965116,2018
0E9ZjEAyAwOXZ7wJC0PD33,1.1e-05,0.694,0.118,0.163,0.77,0.176,125.905,676704919,2018
0EQMrxdeiBhry9JCxskko3,0.0,0.51,0.346,0.302,0.842,0.00852,87.605,4584909,2018
0ERbK7qVqveCaBWIiYCrl3,0.0,0.635,0.0506,0.749,0.713,0.228,179.864,156956150,2017
0EhpEsp4L0oRGM0vmeaN5e,0.0,0.571,0.173,0.393,0.693,0.00536,168.169,483027771,2020
0F7FA14euOIX8KcbEturGH,2.23e-06,0.907,0.101,0.507,0.53,0.0578,135.998,119961848,2019
0FDzzruyVECATHXKHFs9eJ,0.00197,0.545,0.209,0.162,0.675,0.00617,124.97,16899948,2014
0FZ4Dmg8jJJAPJnvBIzD9z,0.0,0.861,0.0924,0.504,0.603,0.0521,98.043,281786572,2018
0FktnzDqjClqU6iqOZVEs2,2.15e-05,0.712,0.103,0.588,0.599,0.412,179.788,41314090,2020
0FlfN5cbUUpIHCRH8X1M44,0.0,0.61,0.337,0.287,0.569,0.0398,81.409,7476840,2020
0Fpen1PTuEnCmOJtUU9Iud,0.0,0.85,0.155,0.718,0.785,0.0367,145.063,64308455,2018
0Fs9cdPDhptWEDJmiCbkEW,0.0784,0.766,0.229,0.183,0.74,0.0193,118.008,38891803,2013
0Fv5N0cHBsl4bzCbollCAS,0.0,0.812,0.154,0.38,0.522,0.0433,75.524,74518280,2017
0GQ5bFTVFFKpwNPc7KwQnB,0.0,0.68,0.597,0.243,0.82,0.0614,140.033,22104455,2020
0GVuLQtPXFaL18ijEOqoAa,9.14e-06,0.351,0.0919,0.191,0.331,0.3,161.564,11232588,2017
0Gl5s8IhMmQE5YQwM8Qx1J,0.0,0.277,0.0952,0.227,0.394,0.423,86.777,55370618,2017
0GzuHFG4Ql6DoyxFRnIk3F,5.81e-06,0.766,0.142,0.609,0.788,0.105,179.984,125857481,2020
0H1Had94fszD13qsFsP1U5,0.0,0.497,0.102,0.47,0.77,0.0472,167.892,5651686,2018
0H4ugk6rhnXmTl47ayy9O5,0.0,0.65,0.121,0.223,0.827,0.0229,144.995,8908179,2020
0HUTL8i4y4MiGCPId7M7wb,0.565,0.346,0.0546,0.403,0.944,4.16e-05,179.63,12407393,2015
0Ie5uiv54KgCr7P4sYDTHl,0.0,0.553,0.281,0.558,0.476,0.647,113.401,25564107,2014
0IpnZchq8ek2A6pGEP2Qb1,0.0,0.733,0.382,0.319,0.567,0.0129,75.491,9039518,2020
0JAZWvvqttGFm4UMDsPQXC,0.000542,0.734,0.123,0.72,0.775,0.186,166.039,201691098,2020
0JP9xo3adEtGSdUEISiszL,0.00404,0.921,0.102,0.711,0.537,0.556,128.009,1055535621,2018
0JXXNGljqupsJaZsgSbMZV,0.000307,0.684,0.191,0.498,0.607,0.0267,81.001,639775605,2010
0JcNysfWVWaMS7R6vzGB2k,0.0,0.742,0.359,0.652,0.859,0.0824,95.046,112779418,2017
0JiVRyTJcJnmlwCZ854K4p,0.000405,0.676,0.121,0.157,0.929,0.186,97.019,114646009,2016
0JjM9bKm4wrwohMslcm892,0.0,0.803,0.0921,0.284,0.759,0.00509,104.0,49208475,2020
0Jlcvv8IykzHaSmj49uNW8,7.28e-06,0.777,0.108,0.172,0.357,0.757,139.883,75120501,2020
0JoHqmlqE0W0i9prt6kcHR,4.35e-06,0.772,0.107,0.0957,0.547,0.0983,130.099,18406112,2016
0KAzP1Rbp0Vz5pw8i1KDDI,0.0,0.469,0.103,0.201,0.489,0.841,74.013,5667440,2019
0KKkJNfGyhkQ5aFogxQAPU,0.0,0.853,0.0944,0.86,0.56,0.013,134.066,883072719,2016
0KkIkfsLEJbrcIhYsCL7L5,0.000289,0.786,0.0822,0.608,0.808,0.0846,105.029,42199218,2020
0KoiMHhqKLoL4xM54rcWYY,4.82e-06,0.842,0.0642,0.617,0.801,0.157,95.881,99093352,2019
0LEFmgIj8ABU7CelzGh5Bs,0.0,0.83,0.302,0.884,0.625,0.226,138.046,4598294,2020
0Li1OuXXfi7950ilZUFGkF,0.0,0.747,0.138,0.0663,0.497,0.248,142.046,6586204,2020
0Lw6aQcBFWTQ9m4MSwwwes,0.0,0.722,0.171,0.796,0.764,0.145,139.831,27894553,2019
0MIcPSq9n2z5H8TAfEstri,0.0,0.608,0.0996,0.482,0.753,0.103,97.626,82990060,2017
0MrRAUcB8AZiB9ue2VOBYe,0.0,0.606,0.1,0.307,0.775,0.262,164.02,31446293,2018
0NJp8GyCOWnQh71xKSPfuV,0.0,0.966,0.105,0.363,0.563,0.00202,104.991,33625322,2019
0NTMtAO2BV4tnGvw9EgBVq,1.94e-06,0.781,0.257,0.395,0.728,0.0509,102.99,17126039,2015
0OI7AFifLSoGzpb8bdBLLV,0.0,0.653,0.0537,0.216,0.718,0.00413,82.034,77861030,2017
0OWZFobGSIW9GrSlQ9C5pc,0.0,0.333,0.113,0.474,0.412,0.0977,85.028,3959792,2017
0Odu228D0yGcFySGuxU4rY,0.0,0.464,0.155,0.423,0.547,0.0511,67.003,23613606,2019
0OgGn1ofaj55l2PcihQQGV,0.00272,0.758,0.102,0.261,0.574,0.46,151.985,34911198,2017
0OlnLZY4cmQzT6ZGttvWBM,0.0,0.526,0.197,0.13,0.52,0.435,149.119,144794103,2017
0Oqc0kKFsQ6MhFOLBNZIGX,0.00402,0.641,0.0937,0.523,0.559,0.404,144.982,17374296,2019
0OwX5aROoW1Iip8FV51Efg,0.0,0.756,0.176,0.811,0.589,0.0812,146.928,3111623,2016
0P6AWOA4LG1XOctzaVu5tt,0.0,0.775,0.126,0.667,0.573,0.495,101.925,44428529,2017
0PDUDa38GO8lMxLCRc4lL1,0.0,0.584,0.0939,0.438,0.7,0.117,124.944,38825949,2016
0PG9fbaaHFHfre2gUVo7AN,0.0,0.747,0.0832,0.65,0.57,0.0642,133.992,140425335,2019
0PvFJmanyNQMseIFrU708S,0.0,0.823,0.193,0.347,0.586,0.114,125.971,672674643,2020
0Q2n5yzl2XRqYbV77tZNYp,0.0,0.907,0.253,0.664,0.539,0.0408,124.918,44421300,2019
0QIjsbm2fh1cJ45XO9eGqq,0.0,0.8,0.359,0.367,0.578,0.00381,143.01,123541054,2018
0QV16pno66L6K3fn4W13b7,0.0,0.788,0.22,0.681,0.689,0.0112,136.045,3729844,2017
0Qh38w01QRXK6KHIv0e3hb,2.01e-06,0.491,0.0906,0.193,0.588,0.0281,113.608,157374197,2017
0RLLvYBopDwooCyvnTwgYu,0.0,0.567,0.078,0.321,0.515,0.354,120.1,41234173,2019
0RiRZpuVRbi7oqRdSMwhQY,0.0,0.755,0.0685,0.925,0.522,0.533,89.96,2063374994,2019
0RoA7ObU6phWpqhlC9zH4Z,0.0,0.265,0.0893,0.0998,0.312,0.243,54.747,55082314,2017
0Rx0DJI556Ix5gBny6EWmn,0.0,0.844,0.113,0.591,0.644,0.0828,122.061,25097055,2019
0Ryd8975WihbObpp5cPW1t,0.0,0.4,0.159,0.702,0.795,0.119,190.097,227960793,2019
0S9ZVNTNRzLMgb96tmmG1u,0.0,0.761,0.301,0.578,0.668,0.153,90.043,5561227,2020
0SErdEdRcVX1uJCf1eTGYH,0.0,0.657,0.123,0.625,0.54,0.662,136.97,6556452,2020
0SGkqnVQo9KPytSri1H6cF,0.0,0.78,0.129,0.273,0.575,0.106,81.502,261324295,2017
0STK94RxUulYqWzwFlyAb5,4.16e-06,0.397,0.0824,0.17,0.303,0.798,170.22,25355815,2018
0Snbzbd74RLfL0i4nn1vU5,0.0,0.611,0.232,0.823,0.851,0.229,178.032,16575806,2020
0So2sgVa8aJiARPl2P29u2,0.243,0.725,0.107,0.311,0.446,0.85,90.024,33592059,2016
0SqqAgdovOE24BzxIClpjw,6.54e-05,0.86,0.344,0.453,0.758,0.021,97.014,347083812,2020
0SuG9kyzGRpDqrCWtgD6Lq,0.0,0.526,0.112,0.11,0.328,0.694,116.068,2968164,2011
0TCnOEVeLQMXOUrpPlM7uY,0.00118,0.849,0.0954,0.0778,0.699,0.185,100.989,26535152,2018
0TK2YIli7K1leLovkQiNik,0.0,0.759,0.0945,0.75,0.54,0.037,116.947,323383320,2019
0Tcw8w9pvPrZoORgxsNASW,0.0,0.773,0.558,0.35,0.742,0.00198,148.949,5534361,2020
0TlLq3lA83rQOYtrqBqSct,0.0126,0.912,0.104,0.423,0.412,0.0165,154.983,354736338,2018
0TrPqhAMoaKUFLR7iYDokf,0.00252,0.79,0.281,0.508,0.694,0.145,103.007,150811295,2020
