artist_name,genre_category,discography_size,collaboration_impact,streaming_success
Drake,Album Of The Year,262,19246513666,50162292808
Drake,Best Rap Album,262,19246513666,50162292808
Drake,Best Rap Performance,262,19246513666,50162292808
Drake,Best Rap/Sung Performance,262,19246513666,50162292808
Drake,Album Of The Year,262,19246513666,50162292808
Drake,Best Rap Performance,262,19246513666,50162292808
Drake,Record Of The Year,262,19246513666,50162292808
Drake,Best Melodic Rap Performance,262,19246513666,50162292808
Bad Bunny,"Best Latin Rock, Urban or Alternative Album",163,5391990975,44369032140
Bad Bunny,Best Latin Pop or Urban Album,163,5391990975,44369032140
Ed Sheeran,Best Pop Solo Performance,240,2791278201,38153682361
Ed Sheeran,Best Pop Vocal Album,240,2791278201,38153682361
Ed Sheeran,Best Pop Vocal Album,240,2791278201,38153682361
The Weeknd,Best Urban Contemporary Album,186,4288903657,34767779741
Taylor Swift,Best Pop Vocal Album,323,424053296,32596728109
Taylor Swift,Best Pop Solo Performance,323,424053296,32596728109
Taylor Swift,Best Pop Vocal Album,323,424053296,32596728109
Taylor Swift,Album Of The Year,323,424053296,32596728109
Taylor Swift,Best Pop Duo/Group Performance,323,424053296,32596728109
Taylor Swift,Best Pop Solo Performance,323,424053296,32596728109
Taylor Swift,Best Pop Vocal Album,323,424053296,32596728109
Justin Bieber,Album Of The Year,225,10816202075,32465998885
Justin Bieber,Best Pop Solo Performance,225,10816202075,32465998885
Justin Bieber,Best Pop Vocal Album,225,10816202075,32465998885
Justin Bieber,Best Pop Duo/Group Performance,225,10816202075,32465998885
Justin Bieber,Best Pop Solo Performance,225,10816202075,32465998885
Justin Bieber,Best Pop Vocal Album,225,10816202075,32465998885
Ariana Grande,Best Pop Solo Performance,181,2052297828,32287682040
Ariana Grande,Best Pop Vocal Album,181,2052297828,32287682040
Ariana Grande,Best Pop Solo Performance,181,2052297828,32287682040
Ariana Grande,Best Pop Vocal Album,181,2052297828,32287682040
Ariana Grande,Album Of The Year,181,2052297828,32287682040
Ariana Grande,Best Pop Duo/Group Performance,181,2052297828,32287682040
Ariana Grande,Best Pop Solo Performance,181,2052297828,32287682040
Ariana Grande,Best Pop Vocal Album,181,2052297828,32287682040
Ariana Grande,Record Of The Year,181,2052297828,32287682040
Post Malone,Album Of The Year,98,2728018288,29832277109
Post Malone,Best Pop Solo Performance,98,2728018288,29832277109
Post Malone,Best Rap/Sung Performance,98,2728018288,29832277109
Post Malone,Record Of The Year,98,2728018288,29832277109
Post Malone,Best Pop Duo/Group Performance,98,2728018288,29832277109
Post Malone,Record Of The Year,98,2728018288,29832277109
Post Malone,Album Of The Year,98,2728018288,29832277109
Post Malone,Record Of The Year,98,2728018288,29832277109
BTS,Best Pop Duo/Group Performance,262,323205288,28533458128
J Balvin,"Best Latin Rock, Urban or Alternative Album",242,9950347777,25892190469
J Balvin,Best Pop Duo/Group Performance,242,9950347777,25892190469
Kanye West,Best Rap Album,239,5767153127,25535119184
Kanye West,Best Rap/Sung Performance,239,5767153127,25535119184
Kanye West,Best Rap/Sung Performance,239,5767153127,25535119184
Kanye West,Best Contemporary Christian Music Album,239,5767153127,25535119184
Billie Eilish,Album Of The Year,65,0,23684986780
Billie Eilish,Best Pop Solo Performance,65,0,23684986780
Billie Eilish,Best Pop Vocal Album,65,0,23684986780
Billie Eilish,Record Of The Year,65,0,23684986780
Billie Eilish,Best Pop Solo Performance,65,0,23684986780
Billie Eilish,Record Of The Year,65,0,23684986780
Coldplay,Best Music Video,299,0,22214835214
Coldplay,Best Pop Vocal Album,299,0,22214835214
Coldplay,Album Of The Year,299,0,22214835214
Dua Lipa,Album Of The Year,198,349750231,22186290470
Dua Lipa,Best Pop Solo Performance,198,349750231,22186290470
Dua Lipa,Best Pop Vocal Album,198,349750231,22186290470
Dua Lipa,Record Of The Year,198,349750231,22186290470
Imagine Dragons,Best Pop Duo/Group Performance,189,65400698,21812218476
Imagine Dragons,Best Pop Vocal Album,189,65400698,21812218476
Khalid,Best Urban Contemporary Album,119,2923419376,20973735166
Khalid,Record Of The Year,119,2923419376,20973735166
Rihanna,Best Pop Duo/Group Performance,278,6677097087,20761226681
Rihanna,Best R&B Performance,278,6677097087,20761226681
Rihanna,Best Urban Contemporary Album,278,6677097087,20761226681
Rihanna,Record Of The Year,278,6677097087,20761226681
Travis Scott,Best Rap Album,113,9662107113,20566427073
Travis Scott,Best Rap Performance,113,9662107113,20566427073
Travis Scott,Best Melodic Rap Performance,113,9662107113,20566427073
Maroon 5,Best Pop Duo/Group Performance,240,18447,19952566778
Shawn Mendes,Best Pop Vocal Album,126,46809153,18964777185
Shawn Mendes,Best Pop Duo/Group Performance,126,46809153,18964777185
Bruno Mars,Album Of The Year,81,3874562483,18201285113
Bruno Mars,Best R&B Album,81,3874562483,18201285113
Bruno Mars,Best R&B Performance,81,3874562483,18201285113
Bruno Mars,Record Of The Year,81,3874562483,18201285113
Kendrick Lamar,Album Of The Year,121,8647763108,17650726013
Kendrick Lamar,Best Music Video,121,8647763108,17650726013
Kendrick Lamar,Best Rap Album,121,8647763108,17650726013
Kendrick Lamar,Best Rap Performance,121,8647763108,17650726013
Kendrick Lamar,Best Rap/Sung Performance,121,8647763108,17650726013
Kendrick Lamar,Record Of The Year,121,8647763108,17650726013
Kendrick Lamar,Best Rap/Sung Performance,121,8647763108,17650726013
Kendrick Lamar,Record Of The Year,121,8647763108,17650726013
Beyoncé,Album Of The Year,366,1949901038,15593114022
Beyoncé,Best Music Film,366,1949901038,15593114022
Beyoncé,Best Music Video,366,1949901038,15593114022
Beyoncé,Best Pop Solo Performance,366,1949901038,15593114022
Beyoncé,Best Rap/Sung Performance,366,1949901038,15593114022
Beyoncé,Best Rock Performance,366,1949901038,15593114022
Beyoncé,Best Urban Contemporary Album,366,1949901038,15593114022
Beyoncé,Record Of The Year,366,1949901038,15593114022
Beyoncé,Best Music Film,366,1949901038,15593114022
Beyoncé,Best Pop Solo Performance,366,1949901038,15593114022
Beyoncé,Best Pop Vocal Album,366,1949901038,15593114022
Beyoncé,Best Music Film,366,1949901038,15593114022
Beyoncé,Best Music Video,366,1949901038,15593114022
Beyoncé,Best R&B Performance,366,1949901038,15593114022
Beyoncé,Record Of The Year,366,1949901038,15593114022
Adele,Album Of The Year,71,74107163,15561219687
Adele,Best Pop Solo Performance,71,74107163,15561219687
Adele,Best Pop Vocal Album,71,74107163,15561219687
Adele,Record Of The Year,71,74107163,15561219687
Future,Best Music Video,504,9255946718,15552849123
The Chainsmokers,Best Dance Recording,197,400919869,15484677966
The Chainsmokers,Best Pop Duo/Group Performance,197,400919869,15484677966
The Chainsmokers,Best Pop Duo/Group Performance,197,400919869,15484677966
Lady Gaga,Best Pop Solo Performance,314,94739265,14897662581
Lady Gaga,Best Pop Vocal Album,314,94739265,14897662581
Lady Gaga,Best Pop Duo/Group Performance,314,94739265,14897662581
Lady Gaga,Best Pop Solo Performance,314,94739265,14897662581
Lady Gaga,Record Of The Year,314,94739265,14897662581
Lady Gaga,Best Compilation Soundtrack For Visual Media,314,94739265,14897662581
Lady Gaga,Best Pop Duo/Group Performance,314,94739265,14897662581
Lady Gaga,Best Pop Vocal Album,314,94739265,14897662581
J. Cole,Best Rap Performance,137,3309086106,14849857590
Sia,Best Pop Duo/Group Performance,323,3054317056,13601270394
Sia,Best Pop Vocal Album,323,3054317056,13601270394
Maluma,Best Latin Pop Album,195,7414576492,13551469480
Harry Styles,Best Music Video,39,0,13347420670
Harry Styles,Best Pop Solo Performance,39,0,13347420670
Harry Styles,Best Pop Vocal Album,39,0,13347420670
Twenty One Pilots,Best Pop Duo/Group Performance,90,0,12949146668
Twenty One Pilots,Best Rock Performance,90,0,12949146668
Twenty One Pilots,Record Of The Year,90,0,12949146668
Lana Del Rey,Best Pop Vocal Album,166,801314209,12457976768
Lana Del Rey,Album Of The Year,166,801314209,12457976768
Doja Cat,Best Pop Solo Performance,85,1669029614,11973361879
Doja Cat,Record Of The Year,85,1669029614,11973361879
Camila Cabello,Best Pop Solo Performance,61,2188298508,11822254851
Camila Cabello,Best Pop Vocal Album,61,2188298508,11822254851
Arctic Monkeys,Best Alternative Music Album,134,0,11249748739
Arctic Monkeys,Best Rock Performance,134,0,11249748739
Shakira,Best Latin Pop Album,232,1255591184,10782631210
Demi Lovato,Best Pop Vocal Album,251,1425100886,10668611459
Lil Baby,Best Rap/Sung Performance,181,8736714891,9670090585
Lil Baby,Best Rap Performance,181,8736714891,9670090585
Sebastian Yatra,Best Latin Pop Album,126,850201743,9365402828
DaBaby,Best Rap Performance,157,4757336377,9326324913
DaBaby,Best Melodic Rap Performance,157,4757336377,9326324913
DaBaby,Best Rap Performance,157,4757336377,9326324913
DaBaby,Record Of The Year,157,4757336377,9326324913
21 Savage,Best Rap Album,162,6019152179,9289820129
Mac Miller,Best Rap Album,221,699621455,9187372325
Panic! At The Disco,Best Rock Album,146,669606481,9107446450
Pop Smoke,Best Rap Performance,99,930302921,9097323859
Cardi B,Best Rap Performance,70,6163998179,9066363643
Cardi B,Album Of The Year,70,6163998179,9066363643
Cardi B,Best Rap Album,70,6163998179,9066363643
Cardi B,Best Rap Performance,70,6163998179,9066363643
Cardi B,Record Of The Year,70,6163998179,9066363643
Young Thug,Best Rap/Sung Performance,366,9576540270,8956248071
Metallica,Best Rock Album,814,7116668,8890283866
Lil Nas X,Album Of The Year,34,0,8778149366
Lil Nas X,Best Music Video,34,0,8778149366
Lil Nas X,Best Pop Duo/Group Performance,34,0,8778149366
Lil Nas X,Best Rap/Sung Performance,34,0,8778149366
Lil Nas X,Record Of The Year,34,0,8778149366
Diplo,Best Dance Recording,397,1757002014,8496096848
Fall Out Boy,Best Rock Album,199,38756715,8451431705
P!nk,Best Pop Solo Performance,227,663799734,8243802966
P!nk,Best Pop Vocal Album,227,663799734,8243802966
Logic,Best Music Video,193,1940369157,8221159539
Migos,Best Rap Album,283,3413743336,8212730428
Migos,Best Rap Performance,283,3413743336,8212730428
Zedd,Best Pop Duo/Group Performance,139,1008114646,7585730125
Zedd,Best Pop Duo/Group Performance,139,1008114646,7585730125
Zedd,Record Of The Year,139,1008114646,7585730125
SZA,Best R&B Performance,49,2147963882,7269204057
SZA,Best Rap/Sung Performance,49,2147963882,7269204057
SZA,Best Urban Contemporary Album,49,2147963882,7269204057
Luis Miguel,Best Regional Mexican Music Album (Including Tejano),312,2583720,7267478981
DJ Khaled,Best Rap Album,186,195727208,7262608327
DJ Khaled,Best Rap/Sung Performance,186,195727208,7262608327
Justin Timberlake,Best Pop Duo/Group Performance,172,2167168755,7225331308
JAY-Z,Album Of The Year,306,5959218358,6923840435
JAY-Z,Best Music Video,306,5959218358,6923840435
JAY-Z,Best Rap Album,306,5959218358,6923840435
JAY-Z,Best Rap Performance,306,5959218358,6923840435
JAY-Z,Best Rap/Sung Performance,306,5959218358,6923840435
JAY-Z,Record Of The Year,306,5959218358,6923840435
Bebe Rexha,Best Country Duo/Group Performance,113,3954204862,6836453644
The Rolling Stones,Best Traditional Blues Album,1073,6784031,6727427341
Michael Bublé,Best Traditional Pop Vocal Album,239,313876033,6667559320
Michael Bublé,Best Traditional Pop Vocal Album,239,313876033,6667559320
Camilo,Best Latin Pop or Urban Album,49,887878975,6519784854
Luis Fonsi,Best Pop Duo/Group Performance,187,444209070,6388525172
Luis Fonsi,Record Of The Year,187,444209070,6388525172
Luis Fonsi,Best Latin Pop Album,187,444209070,6388525172
Childish Gambino,Album Of The Year,86,604415192,6247735359
Childish Gambino,Best Traditional R&B Performance,86,604415192,6247735359
Childish Gambino,Best Urban Contemporary Album,86,604415192,6247735359
Childish Gambino,Record Of The Year,86,604415192,6247735359
Childish Gambino,Best Music Video,86,604415192,6247735359
Childish Gambino,Best Rap/Sung Performance,86,604415192,6247735359
Childish Gambino,Record Of The Year,86,604415192,6247735359
Gorillaz,Best Alternative Music Album,283,1329013,6243417623
Gorillaz,Best Dance Recording,283,1329013,6243417623
Lorde,Album Of The Year,57,286523906,6006934967
David Bowie,Best Alternative Music Album,1315,35086750,5960976370
David Bowie,Best Rock Performance,1315,35086750,5960976370
Luke Combs,Best Country Duo/Group Performance,68,150384172,5890199848
Skrillex,Best Dance Recording,149,1640865351,5881756686
Christian Nodal,Best Regional Mexican Music Album (Including Tejano),69,409256344,5835820936
Big Sean,Best Rap Performance,153,6189567932,5791066758
Big Sean,Best Rap Performance,153,6189567932,5791066758
Foo Fighters,Best Rock Performance,237,0,5761240710
Meek Mill,Best Rap Album,440,1900550120,5609538227
Jack Harlow,Best Rap Performance,96,315806334,5606152807
Radiohead,Best Alternative Music Album,233,2206126,5531324257
Roddy Ricch,Best Melodic Rap Performance,61,3489978704,5446354074
John Legend,Best Traditional Pop Vocal Album,249,2403169234,5384405995
John Legend,Best R&B Album,249,2403169234,5384405995
Megan Thee Stallion,Best Rap Performance,131,1656164329,5274621614
Megan Thee Stallion,Record Of The Year,131,1656164329,5274621614
Tame Impala,Best Alternative Music Album,101,174098397,5214042684
Disclosure,Best Dance Recording,186,24281620,4690114197
Disclosure,Best Dance/Electronic Album,186,24281620,4690114197
Christina Aguilera,Best Pop Duo/Group Performance,281,1808585763,4686000540
Christina Aguilera,Best Rap/Sung Performance,281,1808585763,4686000540
6LACK,Best Rap/Sung Performance,79,952817602,4650333571
6LACK,Best Urban Contemporary Album,79,952817602,4650333571
Tove Lo,Best Music Video,144,1360259448,4629278952
Bruce Springsteen,"Best Spoken Word Album (Includes Poetry, Audio Books & Storytelling)",821,47313864,4480464759
Bring Me The Horizon,Best Rock Album,141,85729842,4372894185
Kehlani,Best R&B Performance,124,2028969469,4361626721
Jonas Brothers,Best Pop Duo/Group Performance,95,498204068,4329888033
Kelly Clarkson,Best Pop Solo Performance,329,231077825,4206190955
Kelly Clarkson,Best Pop Solo Performance,329,231077825,4206190955
Kelly Clarkson,Best Pop Vocal Album,329,231077825,4206190955
Alejandro Fernández,Best Regional Mexican Music Album (Including Tejano),313,352247735,4201269620
Thomas Rhett,Best Country Album,120,247574441,4112832625
Thomas Rhett,Best Country Album,120,247574441,4112832625
Disturbed,Best Rock Performance,173,521301528,4034857022
Kesha,Best Pop Solo Performance,139,39496270,3955337905
Kesha,Best Pop Vocal Album,139,39496270,3955337905
Backstreet Boys,Best Pop Duo/Group Performance,145,6402079,3949466238
Flume,Best Dance Recording,145,39660958,3942056858
Flume,Best Dance/Electronic Album,145,39660958,3942056858
Flume,Best Dance/Electronic Album,145,39660958,3942056858
Flume,Best Dance Recording,145,39660958,3942056858
Miguel,Best Urban Contemporary Album,145,873635526,3933509386
Lizzo,Album Of The Year,79,0,3911061177
Lizzo,Best Pop Solo Performance,79,0,3911061177
Lizzo,Best R&B Performance,79,0,3911061177
Lizzo,Best Traditional R&B Performance,79,0,3911061177
Lizzo,Best Urban Contemporary Album,79,0,3911061177
Lizzo,Record Of The Year,79,0,3911061177
ROSALÍA,"Best Latin Rock, Urban or Alternative Album",61,146654,3871106303
Calibre 50,Best Regional Mexican Music Album (Including Tejano),226,1117326282,3859723768
Anderson .Paak,Best Urban Contemporary Album,152,606712238,3694145511
Anderson .Paak,Best Rap Performance,152,606712238,3694145511
Anderson .Paak,Best R&B Album,152,606712238,3694145511
Anderson .Paak,Best R&B Performance,152,606712238,3694145511
Anderson .Paak,Best Melodic Rap Performance,152,606712238,3694145511
Anderson .Paak,Best Music Video,152,606712238,3694145511
The Strokes,Best Rock Album,82,1690872391,3688560624
Dan + Shay,Best Country Duo/Group Performance,73,231488539,3680653230
Dan + Shay,Best Country Duo/Group Performance,73,231488539,3680653230
Alejandro Sanz,Best Latin Pop Album,380,0,3592290895
Lin-Manuel Miranda,Best Song Written For Visual Media,95,378905,3592135787
Ricky Martin,Best Latin Pop or Urban Album,278,2478742591,3568196300
Steve Aoki,Best Music Film,437,1343266,3527393369
H.E.R.,Album Of The Year,102,3118921754,3476314834
H.E.R.,Best R&B Album,102,3118921754,3476314834
H.E.R.,Best R&B Performance,102,3118921754,3476314834
H.E.R.,Album Of The Year,102,3118921754,3476314834
H.E.R.,Best R&B Performance,102,3118921754,3476314834
H.E.R.,Record Of The Year,102,3118921754,3476314834
Pablo Alborán,Best Latin Pop Album,173,47313864,3437809914
Lukas Graham,Best Pop Duo/Group Performance,66,3924285642,3410790500
Lukas Graham,Record Of The Year,66,3924285642,3410790500
Daniel Caesar,Best R&B Album,37,3009354038,3387218135
Daniel Caesar,Best R&B Performance,37,3009354038,3387218135
Daniel Caesar,Best R&B Performance,37,3009354038,3387218135
Bob Dylan,Best Traditional Pop Vocal Album,1308,498204068,3352960099
Bob Dylan,Best Traditional Pop Vocal Album,1308,498204068,3352960099
Pentatonix,Best Country Duo/Group Performance,201,4265483,3285741959
Cage The Elephant,Best Rock Album,109,301358086,3219794411
Cage The Elephant,Best Rock Album,109,301358086,3219794411
Sam Hunt,Best Country Solo Performance,61,2403169234,3189888914
Carlos Vives,Best Latin Pop Album,276,1957856299,3181877775
Jhené Aiko,Album Of The Year,114,521301528,3178645401
Jhené Aiko,Best Progressive R&B Album,114,521301528,3178645401
Jhené Aiko,Best R&B Performance,114,521301528,3178645401
ScHoolboy Q,Best Rap Album,89,1656164329,3147481533
Offset,Best Rap Performance,53,156055221,3141568579
Zac Brown Band,Best Country Duo/Group Performance,141,39496270,3100596570
Juanes,Best Latin Pop Album,201,0,3046714537
Blake Shelton,Best Country Solo Performance,203,18747880,3044373576
Chris Stapleton,Best Country Album,60,1117326282,3024791697
Chris Stapleton,Best Country Solo Performance,60,1117326282,3024791697
Chris Stapleton,Best Country Album,60,1117326282,3024791697
