TRACK_ID,DANCEABILITY,VALENCE,ENERGY,TEMPO,STREAMS,YEAR
4S8d14HvHb70ImctNgVzQQ,0.901,0.329,0.522,104.053,333062937,2018
4T652DlATVHe0jdLKaN3Bw,0.662,0.331,0.6,134.979,34233707,2019
4VuS959DSpr82t3qBqCrWG,0.589,0.257,0.242,89.749,69743305,2017
4ZT9FnbFu1PaBfV3itxiqT,0.649,0.431,0.453,99.183,61203384,2019
4aOOExMBUyxKnEYb39SrTg,0.509,0.151,0.542,97.767,5163633,2020
4dVpf9jZjcORqGTLUaeYj9,0.797,0.52,0.844,170.142,210566105,2017
4ea9w8c4ROqiZpJVhfBA3m,0.845,0.545,0.631,111.983,44733159,2019
4evmHXcjt3bTUHD1cvny97,0.64,0.548,0.648,92.977,63587657,2019
4kV4N9D1iKVxx1KLvtTpjS,0.726,0.335,0.554,169.999,439898870,2019
4kWO6O1BUXcZmaxitpVUwp,0.747,0.687,0.834,128.005,394343157,2018
4qknM1pQz53QOyfDVTjcM9,0.74,0.948,0.879,103.71,135932475,2017
4sPmO7WMQUAf45kwMOtONw,0.481,0.289,0.451,157.966,40849158,2016
4uqh9bualXNHXXwO2wPorc,0.639,0.149,0.546,122.179,44613974,2020
4vUmTMuQqjdnvlZmAH61Qk,0.857,0.668,0.621,97.989,334701158,2019
4w47S36wQGBhGg073q3nt7,0.776,0.485,0.509,94.634,213376784,2020
4wFjTWCunQFKtukqrNijEt,0.904,0.188,0.518,137.996,71626520,2018
4wVOKKEHUJxHCFFNUWDn0B,0.735,0.04,0.449,122.947,157067849,2020
4wuCQX7JvAZLlrcmH4AeZF,0.746,0.607,0.787,95.005,82955556,2019
51ChrwmUPDJvedPQnIU8Ls,0.761,0.526,0.386,134.943,134809111,2017
52okn5MNA47tk87PeZJLEL,0.662,0.464,0.714,147.997,39835950,2017
55Am8neGJkdj2ADaM3aw5H,0.311,0.225,0.485,77.355,197546394,2016
57RA3JGafJm5zRtKJiKPIm,0.682,0.64,0.683,120.023,126804188,2019
58AGoOGbwsQMhBbH0eFLRR,0.612,0.679,0.884,178.043,41521444,2020
5GkQIP5mWPi4KZLLXeuFTT,0.789,0.661,0.742,116.965,47885797,2020
5HDPtsnyb3maFmPL8LLUTG,0.78,0.862,0.745,94.026,87650964,2017
5N5k9nd479b1xpDZ4usjrg,0.781,0.486,0.768,123.07,525181112,2018
5OCJzvD7sykQEKHH7qAC3C,0.602,0.268,0.658,145.031,263725157,2018
5Psnhdkyanjpgc2P8A5TSM,0.414,0.085,0.677,172.521,9325029,2018
5TXDeTFVRVY7Cvt0Dw4vWW,0.746,0.18,0.251,139.999,352970058,2017
5WoaF1B5XIEnWfmb5NZikf,0.674,0.183,0.506,145.965,110602657,2017
