TRACK_ID,TRACK_NAME,TRACK_POPULARITY,TRACK_DURATION_MS,ARTIST_NAME,ARTIST_POPULARITY,ARTIST_FOLLOWERS,ARTIST_GENRES,ALBUM_NAME,RELEASE_YEAR
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,83,177000,Kendrick Lamar,89.0,44577310.0,"hip hop, west coast hip hop",DAMN.,2017
2YFc0r6PUWDAeE38vJnCxR,ghost girl,72,173946,Lil Peep,82.0,15684530.0,"emo rap, cloud rap",crybaby,2016
3mPn97K8T07095yVSpYr6d,tonight you belong to me (feat. Paul & Carmella Costabile),45,86040,Christina Perri,71.0,4307803.0,soft pop,songs for carmella: lullabies & sing-a-longs,2019
6u7gmPOz7pzzaeR9xSBpsR,my hair,62,158436,Ariana Grande,90.0,107374593.0,pop,Positions,2020
5Pc594FhDA2Fa2prE75GT0,Pretty Please,50,194607,Dua Lipa,85.0,46886554.0,pop,Future Nostalgia,2020
5Ia3op6iA6g4Sv19Lorm4a,dream a little dream of me (sing-a-long),34,86080,Christina Perri,71.0,4307803.0,soft pop,songs for carmella: lullabies & sing-a-longs,2019
60iSKGrGazRzICtMjADNSM,Hold Me While You Wait,76,205686,Lewis Capaldi,79.0,14039018.0,soft pop,Divinely Uninspired To A Hellish Extent,2019
7E1jVNoWuemqUryI4FxsVD,off the table (with The Weeknd),65,239949,Ariana Grande,90.0,107374593.0,pop,Positions,2020
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),69,201600,Pop Smoke,75.0,15612601.0,"brooklyn drill, new york drill, drill",Shoot For The Stars Aim For The Moon,2020
6eObMhagGCRnpIHn1E8vO8,In Da Club,54,193453,50 Cent,82.0,18851875.0,"east coast hip hop, old school hip hop",00s Middle School Dance,2019
2J4P46vCFm1rPkNkp9pZWX,Ice Cream (with Selena Gomez),62,175813,BLACKPINK,81.0,56140946.0,k-pop,Ice Cream (with Selena Gomez),2020
4TCeFZNjGNQIpCuZmJkkE2,God's Country,66,204800,Blake Shelton,69.0,7506632.0,country,Fully Loaded: God's Country,2019
5YUyW9opqNsMSEzzecZih1,X,75,172854,Nicky Jam,81.0,20568367.0,"reggaeton, latin",Intimo,2019
0TlLq3lA83rQOYtrqBqSct,Nonstop,76,238614,Drake,95.0,103039388.0,rap,Scorpion,2018
78YTl0P96kBCBXUSzKoqAm,Control,62,197789,Playboi Carti,86.0,15021860.0,rage rap,Whole Lotta Red,2020
1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,40,123884,Clairo,78.0,6602735.0,bedroom pop,Flaming Hot Cheetos,2017
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo,70,162546,Lil Mosey,64.0,5982826.0,melodic rap,Certified Hitmaker,2020
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,80,309053,The Strokes,74.0,6444988.0,"garage rock, indie rock, alternative rock",The New Abnormal,2020
1Vb4HQnN2kZ5Y2KgYF5TDV,No Lie,55,221176,Sean Paul,81.0,5276981.0,dancehall,No Lie,2016
6OI6QpU1Xe8YuT5J7OFGZU,Winter Bird,38,244146,AURORA,72.0,4694955.0,"norwegian pop, art pop",All My Demons Greeting Me As A Friend (Deluxe),2016
5fSZXFOZfPVW9gvnnG4ZVW,Punk Monk,59,229699,Playboi Carti,86.0,15021860.0,rage rap,Whole Lotta Red,2020
4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),66,129370,ROSALÍA,75.0,8573796.0,latin,TKN (feat. Travis Scott),2020
2t0wwvR15fc3K1ey8OiOaN,Selfless,76,222093,The Strokes,74.0,6444988.0,"garage rock, indie rock, alternative rock",The New Abnormal,2020
424qpX6swdUdhLq95cecNu,Pull Up,58,216400,Playboi Carti,86.0,15021860.0,rage rap,Die Lit,2018
2X3UgVLSA4wYriGIQyYmMA,Answer : Love Myself,63,251279,BTS,85.0,81181104.0,k-pop,Love Yourself 結 'Answer',2018
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),76,229773,BTS,85.0,81181104.0,k-pop,MAP OF THE SOUL : PERSONA,2019
7qiZfU4dY1lWllzX7mPBI3,Shape of You,88,233712,Ed Sheeran,88.0,122773292.0,soft pop,÷ (Deluxe),2017
6XDcPFkoOIq7HSYPPsISMK,a thousand years (lullaby),49,171253,Christina Perri,71.0,4307803.0,soft pop,songs for carmella: lullabies & sing-a-longs,2019
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,76,213593,J. Cole,82.0,27069939.0,rap,MIDDLE CHILD,2019
4kZoZfj7IBg8eo1JZ2vsGO,Go Go,58,235779,BTS,85.0,81181104.0,k-pop,Love Yourself 結 'Answer',2018
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,66,165386,Sam Hunt,65.0,2473426.0,"country, pop country",Body Like A Back Road,2017
6habFhsOp2NvshLv26DqMb,Despacito,80,229360,Luis Fonsi,73.0,10981084.0,latin,VIDA,2019
7fmVIBMLYiXRtTFOlxv90i,til there was you,49,127613,Christina Perri,71.0,4307803.0,soft pop,songs for carmella: lullabies & sing-a-longs,2019
12OLyHDxt6dqlAybSPFBK3,Forever,71,210863,Lewis Capaldi,79.0,14039018.0,soft pop,Divinely Uninspired To A Hellish Extent,2019
3qN5qMTKyEEmiTZD38BNTT,I'm Upset,63,214466,Drake,95.0,103039388.0,rap,Scorpion,2018
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),75,259333,Miguel,78.0,6129109.0,r&b,War & Leisure,2017
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),53,209733,J Balvin,86.0,39108338.0,"reggaeton, latin",Mi Gente (feat. Beyoncé),2017
12VWzyPDBCc8fqeWCAfNwR,One Dance,1,173986,Drake,95.0,103039388.0,rap,Views,2016
4KYS9GK68yeuUJ8vJfPxrq,WHO? WHAT!,67,176720,Travis Scott,89.0,41107596.0,rap,ASTROWORLD,2018
6NoVGd3nTHsmBV1yduWRta,Bad Decisions,42,297786,Two Door Cinema Club,66.0,2546120.0,"indie, indie rock",Gameshow (Deluxe Edition),2016
1whfVLMKWqAX3uk97VXsNN,west side,62,132278,Ariana Grande,90.0,107374593.0,pop,Positions,2020
0tgVpDi06FyKpA1z0VMD4v,Perfect,88,263400,Ed Sheeran,88.0,122773292.0,soft pop,÷ (Deluxe),2017
1FBi1YWCAxlRmfuUbMINqO,Runaway,68,192760,Lil Peep,82.0,15684530.0,"emo rap, cloud rap","Come Over When You're Sober, Pt. 2",2018
48QmG1dfvMuYLxMPt7KSRA,No Lie,83,221176,Sean Paul,81.0,5276981.0,dancehall,Mad Love The Prequel,2018
5FAVZuimEijg8ogtTXFgHM,Play It Again,44,226866,Luke Bryan,74.0,9406293.0,"country, acoustic country",Best Of The 10s: Country,2019
7lztvN7UHRDsMEf8ooKvUS,stay awake,43,65239,Christina Perri,71.0,4307803.0,soft pop,songs for carmella: lullabies & sing-a-longs,2019
3smbno1dKL410vC27M5KOS,Tear,51,284980,BTS,85.0,81181104.0,k-pop,Love Yourself 結 'Answer',2018
4wFjTWCunQFKtukqrNijEt,MotorSport,66,303076,Migos,74.0,14636928.0,trap,Culture II,2018
4SUwJA3eUVNHExxMPEUhQe,Ratchet Happy Birthday,50,207306,Drake,95.0,103039388.0,rap,Scorpion,2018
3T9CfDxFYqZWSKxd0BhZrb,Wait,63,190642,Maroon 5,85.0,45764832.0,pop,Red Pill Blues (Deluxe),2018
